date,Fin,Sperm,Humpback,Sei,Bryde's,Minke,Gray,Bowhead,Total
1986,85,209,2,40,317,5875,171,28,6727
1987,89,198,2,20,317,1040,159,31,1856
1988,77,7,2,10,0,389,151,29,665
1989,82,4,2,2,0,422,180,26,718
1990,19,12,1,0,0,427,162,44,665
1991,18,14,1,0,0,395,169,48,645
1992,22,7,3,0,0,539,0,50,621
1993,14,10,2,0,0,672,0,52,750
1994,22,27,0,0,0,740,44,47,880
1995,12,38,0,0,0,920,92,57,1119
1996,19,18,2,0,0,1081,43,45,1208
1997,13,22,0,0,0,1203,79,66,1383
1998,11,31,2,0,1,1290,125,56,1616
1999,9,6,4,0,0,1315,124,48,1506
2000,7,15,2,0,44,1128,115,49,1360
2001,8,43,4,1,50,1261,112,76,1555
2002,13,33,4,40,50,1377,131,54,1702
2003,9,28,2,50,50,1482,128,44,1793
2004,13,17,1,100,51,1368,111,45,1706
2005,23,10,1,100,51,1939,124,71,2319
2006,21,10,2,102,51,1497,134,42,1859
2007,12,46,1,100,50,1592,132,63,1996
2008,15,36,2,100,50,1585,130,56,1974
2009,136,6,2,101,50,1421,116,45,1877
2010,156,25,12,100,51,1025,118,80,1567
2011,6,15,10,96,50,1193,128,55,1553
2012,5,6,12,100,34,959,143,72,1331
2013,143,19,12,100,28,1168,127,61,1658
2014,149,31,9,90,25,1009,124,55,1492
2015,168,7,7,90,25,1247,125,52,1722
2016,9,12,6,90,26,1174,120,63,1500
2017,8,27,3,134,0,1056,120,59,1407
2018,153,15,6,135,0,1085,108,71,1573
2019,8,18,7,25,187,729,137,41,1152
2020,3,18,4,25,187,782,136,70,1225
